user_id,transactiondatetime,transactionamount,jupiter_coarsegrain_category
5453f139-66ef-477c-84c5-191bca9a663d,2024-06-14 05:30:00.000000,2300.0,entertainment
5453f139-66ef-477c-84c5-191bca9a663d,2024-06-14 05:30:00.000000,1000.0,atm
5453f139-66ef-477c-84c5-191bca9a663d,2024-06-14 05:30:00.000000,10.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-06-14 05:30:00.000000,130.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-06-14 05:30:00.000000,618.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-04-06 05:30:00.000000,60.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-04-06 05:30:00.000000,100.0,food & drinks
5453f139-66ef-477c-84c5-191bca9a663d,2024-04-06 05:30:00.000000,165.0,entertainment
5453f139-66ef-477c-84c5-191bca9a663d,2024-04-06 05:30:00.000000,120.0,entertainment
5453f139-66ef-477c-84c5-191bca9a663d,2024-04-06 05:30:00.000000,20.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-04-06 05:30:00.000000,100.0,entertainment
5453f139-66ef-477c-84c5-191bca9a663d,2024-04-06 05:30:00.000000,30.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-04-06 05:30:00.000000,20.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-24 05:30:00.000000,960.0,entertainment
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-24 05:30:00.000000,200.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-24 05:30:00.000000,100.0,entertainment
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-24 05:30:00.000000,30.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-24 05:30:00.000000,10.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-24 05:30:00.000000,20.0,entertainment
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-24 05:30:00.000000,30.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-24 05:30:00.000000,50.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-24 05:30:00.000000,40.0,commute
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-24 05:30:00.000000,61.0,bills & utilities
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-24 05:30:00.000000,60.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,41.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,20.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,87.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,110.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,600.0,entertainment
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,90.0,entertainment
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,20.0,entertainment
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,20.0,entertainment
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,40.0,commute
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,50.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,48.0,entertainment
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,5.0,entertainment
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,165.0,entertainment
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,200.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,60.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,225.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-23 05:30:00.000000,500.0,entertainment
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-25 05:30:00.000000,25.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-05-25 05:30:00.000000,33.0,uncategorised
